Tdec,Reference,ID,SMILES_cation,SMILES_anion,SMILES
102,10.1021/jacs.8b05106,salt01,[H][NH3+],N1=NN=N[N-]1,[H][NH3+].N1=NN=N[N-]1
85.3,10.1021/jacs.8b05106,salt02,N[NH3+],N1=NN=N[N-]1,N[NH3+].N1=NN=N[N-]1
99.4,10.1039/C9TA01077G,salt03,NNC(N)=[NH2+],N1=NN=N[N-]1,NNC(N)=[NH2+].N1=NN=N[N-]1
100.5,10.1039/C9TA01077G,salt04,NNC(NN)=[NH2+],N1=NN=N[N-]1,NNC(NN)=[NH2+].N1=NN=N[N-]1
124.8,10.1039/C9TA01077G,salt05,N=C(NC(N)=[NH2+])N,N1=NN=N[N-]1,N=C(NC(N)=[NH2+])N.N1=NN=N[N-]1
107.8,10.1002/asia.201900776,salt06,[NH3+]OCC(O)=O,N1=NN=N[N-]1,[NH3+]OCC(O)=O.N1=NN=N[N-]1
111.8,10.1002/asia.201900776,salt07,[NH3+]OCC1=CC=C([N+]([O-])=O)C=C1,N1=NN=N[N-]1,[NH3+]OCC1=CC=C([N+]([O-])=O)C=C1.N1=NN=N[N-]1
110,10.1002/asia.201800187,salt08,O=C(N)NC(N)=[NH2+],N1=NN=N[N-]1,O=C(N)NC(N)=[NH2+].N1=NN=N[N-]1
95,10.1002/asia.201800187,salt09,NNC(C(N[NH3+])=O)=O,N1=NN=N[N-]1,NNC(C(N[NH3+])=O)=O.N1=NN=N[N-]1
107.2,10.1039/C9TA01077G,salt10,NC1=[NH+]N=CN1N,N1=NN=N[N-]1,NC1=[NH+]N=CN1N.N1=NN=N[N-]1
120.9,10.1039/C9TA01077G,salt11,NC1=NN2C(N)=[NH+]N=C2N1N,N1=NN=N[N-]1,NC1=NN2C(N)=[NH+]N=C2N1N.N1=NN=N[N-]1
88.1,10.1021/jacs.8b05106,salt12,[NH2+]=C(N)N,N1=NN=N[N-]1,[NH2+]=C(N)N.N1=NN=N[N-]1
80.8,10.1021/jacs.8b05106,salt13,C[N+](C)(C)C,N1=NN=N[N-]1,C[N+](C)(C)C.N1=NN=N[N-]1
108.3,10.1002/zaac.202000309,salt14,N=C([NH3+])NCC(O)=O,N1=NN=N[N-]1,N=C([NH3+])NCC(O)=O.N1=NN=N[N-]1
105.1,10.1002/zaac.202000309,salt15,COC([NH3+])=N,N1=NN=N[N-]1,COC([NH3+])=N.N1=NN=N[N-]1
110.5,10.1021/acs.cgd.0c01574,salt16,NC1=[NH+]N=C(N1N)C2=NNC(C3=NN=C(N3N)N)=C2[N+]([O-])=O,N1=NN=N[N-]1,NC1=[NH+]N=C(N1N)C2=NNC(C3=NN=C(N3N)N)=C2[N+]([O-])=O.N1=NN=N[N-]1
116.4,10.1021/acs.cgd.0c01574,salt17,NC1=NON=C1C2=N[NH+]=C(N2N)N,N1=NN=N[N-]1,NC1=NON=C1C2=N[NH+]=C(N2N)N.N1=NN=N[N-]1
113.3,10.1021/acs.cgd.0c01574,salt18,[NH3+]/N=C(C1=NON=C1N)\N,N1=NN=N[N-]1,[NH3+]/N=C(C1=NON=C1N)\N.N1=NN=N[N-]1
100,10.1021/acsaem.0c02052,salt19,NN1C2=N[NH+]=C(N)N2N=C1,N1=NN=N[N-]1,NN1C2=N[NH+]=C(N)N2N=C1.N1=NN=N[N-]1
96,10.1021/acsaem.0c02052,salt20,[NH2+]=C(N1C=NC=N1)N,N1=NN=N[N-]1,[NH2+]=C(N1C=NC=N1)N.N1=NN=N[N-]1
91,10.1021/acsaem.0c02052,salt21,N/C(N)=N/C1=NN=C(N=N1)NC(N)=[NH2+],N1=NN=N[N-]1,N/C(N)=N/C1=NN=C(N=N1)NC(N)=[NH2+].N1=NN=N[N-]1
96.3,10.1016/j.enmf.2022.05.002,salt22,NC1=[N+](N=NN1N)N,N1=NN=N[N-]1,NC1=[N+](N=NN1N)N.N1=NN=N[N-]1
105,10.1016/j.enmf.2020.10.001,salt23,NC1=N[N+]2=C(N1N)N=C3N(N=C(N3N)N)C2=N,N1=NN=N[N-]1,NC1=N[N+]2=C(N1N)N=C3N(N=C(N3N)N)C2=N.N1=NN=N[N-]1
104.3,10.1021/jacs.8b05106,salt24,O[NH3+],N1=NN=N[N-]1,O[NH3+].N1=NN=N[N-]1
105,10.1021/acs.cgd.3c01016,salt25,[NH3+]CCC([N+]([O-])=O)([N+]([O-])=O)[N+]([O-])=O,N1=NN=N[N-]1,[NH3+]CCC([N+]([O-])=O)([N+]([O-])=O)[N+]([O-])=O.N1=NN=N[N-]1
125.9,10.1039/D3CE01234D,salt26,NC1=N[NH+]=C(N1)/C([N+]([O-])=O)=C(N)\N,N1=NN=N[N-]1,NC1=N[NH+]=C(N1)/C([N+]([O-])=O)=C(N)\N.N1=NN=N[N-]1
95.35,10.1021/acs.cgd.8b01823,salt27,NC1=NN=C(N1N)C2=N[NH+]=C(N2N)N,N1=NN=N[N-]1,NC1=NN=C(N1N)C2=N[NH+]=C(N2N)N.N1=NN=N[N-]1
115,10.1021/acs.cgd.3c01016,salt28,[NH2+]=C1NC2=C(N/C(N2)=C\[N+]([O-])=O)N1,N1=NN=N[N-]1,[NH2+]=C1NC2=C(N/C(N2)=C\[N+]([O-])=O)N1.N1=NN=N[N-]1
103,10.1021/acs.cgd.1c00185,salt29,NN/C(NN)=[NH+]/N,N1=NN=N[N-]1,NN/C(NN)=[NH+]/N.N1=NN=N[N-]1
118,10.1021/acs.cgd.3c01016,salt30,O=[N+](C1([N+]([O-])=O)C[NH2+]C1)[O-],N1=NN=N[N-]1,O=[N+](C1([N+]([O-])=O)C[NH2+]C1)[O-].N1=NN=N[N-]1
120,10.1021/acs.cgd.1c00185,salt31,NC1=[NH+]N=C(N1N)C2=NNC=C2[N+]([O-])=O,N1=NN=N[N-]1,NC1=[NH+]N=C(N1N)C2=NNC=C2[N+]([O-])=O.N1=NN=N[N-]1
99.8,10.1016/j.molstruc.2025.143111,salt32,[NH2+]=CN,N1=NN=N[N-]1,[NH2+]=CN.N1=NN=N[N-]1
121.4,10.1016/j.molstruc.2025.143111,salt33,[NH3+]C1=C(N=C(N=C1O)N)O,N1=NN=N[N-]1,[NH3+]C1=C(N=C(N=C1O)N)O.N1=NN=N[N-]1
117.7,10.1016/j.molstruc.2025.143111,salt34,[NH2+]=C(N1C=CC=N1)N,N1=NN=N[N-]1,[NH2+]=C(N1C=CC=N1)N.N1=NN=N[N-]1
109.4,10.1016/j.molstruc.2025.143111,salt35,CN1C=N[NH+]=C1N,N1=NN=N[N-]1,CN1C=N[NH+]=C1N.N1=NN=N[N-]1
94,10.1016/j.molstruc.2025.143111,salt36,NNC1=[NH+]CCN1,N1=NN=N[N-]1,NNC1=[NH+]CCN1.N1=NN=N[N-]1
